Column,Data Type,Unique Values,Missing Percentage,Mean,Std,Min,Max
ano,Int64,26,0.0,2019.435655805264,3.396480944472289,1997.0,2025.0
mes,Int64,12,0.0,5.893345788230122,3.284388355131247,1.0,12.0
uf,category,25,0.6099236221770427,,,,
data_compra,object,3042,0.0,,,,
municipio,object,1120,0.0,,,,
codigo_br,object,570,0.0,,,,
descricao,object,380,0.0,,,,
modalidade_compra,object,23,0.0,,,,
quantidade,float64,4185,0.0,666723.7449035661,40512509.75480123,1.0,7200000000.0
preco_unitario,float64,6372,0.0,146.52519149843397,1486.6762855502652,0.0001,93183.93
gasto_total,float64,13448,9.096653662289137,216782.2409293378,5564625.472463848,0.0001,542500000.0
preco_medio_mensal,float64,8372,0.0,146.52519149843397,1479.8122066900548,0.0003,93183.93
classificacao,object,1,0.0,,,,
indice_ponderado_mensal,float64,10612,0.0,144.99577764161626,1476.6228738642953,0.0003,93183.93
cid10,object,38,0.0,,,,
