Region,MAE,RMSE,MAPE,SMAPE,Model
AL,497.8715943589841,1590.3863682172807,4.407139480652889,4.59447662507356,Random Forest
BA,333774.08988349244,1340886.8647672224,11.609132837396622,10.63363299010538,Random Forest
CE,95.89056462162154,267.80197628874146,6.459872923039116,5.898823721308646,Random Forest
ES,5403.711810520007,19343.225464364165,5.361312831561292,5.0831009325445455,Random Forest
MA,6886.326958499999,11725.607433988504,7.918147671080625,8.393697945172917,Random Forest
MG,38747.48088117213,419274.925875893,4.72045961390345,4.488771536104724,Random Forest
MS,8779.738420190508,18422.818354187668,7.34937623459613,6.955832021777149,Random Forest
PA,843.6465292619065,2495.733642204308,3.256229390116742,3.254444704343387,Random Forest
PB,1445657.7391337727,24909437.382178023,210.49515070217595,18.29485645350918,Random Forest
PE,2366.543856689654,8194.80369723649,9.304733988430975,6.927253305146004,Random Forest
PI,406.2498363030316,1237.4403370772686,3.875254884546817,3.887051174526864,Random Forest
PR,89895.26660899067,394867.6123214022,6.598236824561752,6.634127899154607,Random Forest
RJ,340930.23669266666,1006788.163199758,10.6651662014177,11.598319582401965,Random Forest
RN,171.39250000000052,219.13680514945537,2.4114057095957917,2.4108331428952754,Random Forest
RO,930.7000206828483,7164.033984356408,3.7429144556951286,3.7552288956595805,Random Forest
RS,30905.21599729022,295364.1382007218,7.023694227730651,6.5332571748292265,Random Forest
SC,109086.51030790916,260435.59882034885,10.88507454842854,9.945966202378159,Random Forest
SE,2074.249947577586,5799.127673842572,5.915083342098116,4.836945756660995,Random Forest
SP,619289.2263110533,3319798.458836609,13.289894246294203,11.62723140989776,Random Forest
TO,14520.857070762098,38401.10018835559,6.085913854448101,6.19911240023898,Random Forest
AL,1115.747516076921,4679.997190353076,7.910423607699791,7.238483470952918,Extra Trees
BA,279103.559021646,628195.3494330506,91.59588118705717,30.05242166177524,Extra Trees
CE,417.7172243783787,1329.5094126608726,28.65572964925554,18.641576213141835,Extra Trees
ES,8690.584768960001,26786.33594316424,15.264170916606517,11.501102128582009,Extra Trees
MA,53549.87481249998,77615.1807726086,133.2188813645476,67.64665823796906,Extra Trees
MG,46596.51427157377,259801.79791433527,160.343613047877,16.226310623277534,Extra Trees
MS,150001.6088784286,388899.00040777307,126.20152246897214,28.16421843847687,Extra Trees
PA,1824.355128869048,12542.767378339475,89.87397367720062,5.790668781324565,Extra Trees
PB,1458112.6492635317,24956768.685296666,302.2504507684497,32.57602794345168,Extra Trees
PE,5310.2151342643665,34047.02438339571,58.055527229667504,8.095716851199109,Extra Trees
PI,5690.174540136363,43476.88236065514,115.8031774954855,6.961568674897944,Extra Trees
PR,112810.15487147978,436759.85197583603,85.78313126843884,14.206552356073477,Extra Trees
RJ,191569.7435368749,419633.91043959465,50.62280963205006,19.248155256449817,Extra Trees
RN,97.45826666666714,125.60398959672166,2.6969821658808972,2.781767727272499,Extra Trees
RO,5438.079610511328,58286.40040458954,117.35443950032493,9.624902145567505,Extra Trees
RS,31518.82488609194,154142.80759963262,68.33408815118372,21.223876948373345,Extra Trees
SC,58798.60426763646,105820.55353894118,11.35264178584752,11.388758420307886,Extra Trees
SE,3085.342545948274,12881.83942902955,32.01183477513094,7.503105542340402,Extra Trees
SP,612328.3020683512,2776153.214595987,120.1091079380706,25.67874323640297,Extra Trees
TO,33158.736566476444,75155.23777283481,41.230215610863574,23.34275147249413,Extra Trees
AL,5002.48935897436,29906.59272559173,5.875970324475445,5.521428190916783,Decision Tree
BA,273936.1677646154,714520.9370297719,19.77164491929979,20.851277850778708,Decision Tree
CE,732.0344324324325,2509.553436375387,14.43946236286775,12.959135863808378,Decision Tree
ES,6923.20036,24147.819504448897,9.132467599124075,8.169958121209145,Decision Tree
MA,19130.9337,30081.55975806246,26.029337184355946,35.5948296234743,Decision Tree
MG,15350.833668852458,158640.68277292588,8.366969409398834,8.186852828456722,Decision Tree
MS,15327.504761904758,42969.827198528255,8.862994272188603,9.829155947279085,Decision Tree
PA,1877.9156785714283,5827.669158870556,7.855470936919369,7.815772126537227,Decision Tree
PB,1354606.7013655517,23296054.07572109,266.8492557283451,22.606104327882132,Decision Tree
PE,2726.372896551724,6545.686904277252,9.47739014110171,10.329417002747359,Decision Tree
PI,951.3369030303029,4266.022720823982,7.302918588094322,8.708839931226443,Decision Tree
PR,144230.6724616099,655390.0576179521,11.883839230203616,12.25906308091599,Decision Tree
RJ,551797.4746958334,1398392.8461212984,16.97408800432847,20.915047040950775,Decision Tree
RN,200.0,232.52240035460383,3.6323763041320287,3.702386041060488,Decision Tree
RO,1151.2034466019418,3459.852751952356,6.955543270912869,7.042047683890025,Decision Tree
RS,40585.085206896554,329368.159006575,13.935251711862609,13.830934852718594,Decision Tree
SC,151371.00604545456,227536.99673951662,19.58560139365155,18.647680972648903,Decision Tree
SE,3541.481844827586,8204.696251943136,7.36557114734525,7.917573677829699,Decision Tree
SP,799956.3732407123,4149712.693328505,19.038966353873676,19.140536466314302,Decision Tree
TO,35265.887142857144,125653.14530340358,9.028596899554115,9.24245132729022,Decision Tree
AL,10433.152829840243,35964.10554003079,180.31884791801536,101.93760271043166,XGBoost
BA,323615.4992659631,1177691.126027886,56.69010084424926,41.21330388062529,XGBoost
CE,5240.119478568412,6280.146152849661,2182.4662323395437,157.59136909180617,XGBoost
